cognateset_ids,n_cognatesets,root_forms,root_languages
380 | 842 | 7432,3,*peh₃(i̯)- | *peh₃(i̯)- | *peh₃(i̯)-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
385 | 6793 | 9634,3,*kʰād- | *kʰād-,Proto-Indo-Iranic | Proto-Indo-Iranic
3977 | 3989 | 6727,3,*śuḍa- | *kuḍa-,Indic | Indic
254 | 6271 | 8119,3,*legʰ- | *legʰ- | *legʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
3348 | 5952 | 5989,3,*sengʷ- ‎  | *sengʷ- | *sengʷ- ‎,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
185 | 4355 | 4356,3,*gʰreu̯d- | *brasso- | nan,Proto-Indo-European | Proto-Celtic | Provençal
299 | 300 | 2614,3,*reukan- | *rauki- | *rauki-,Proto-Germanic | Proto-Germanic | Proto-Germanic
263 | 1248 | 6875,3,*h₂emg̑ʰ- | *h₂emg̑ʰ- | *h₂emg̑ʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
208 | 237 | 9268,3,*h₂eu̯s- | *h₂keu̯s- | *h₂eu̯s-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
211 | 1240 | 6983,3,*h₃ekʷ- | *obačiti | *h₃ekʷ-,Proto-Indo-European | Proto-Slavic | Proto-Indo-European
226 | 2742 | 6762,3,*preu̯s- | nan | *preu̯s-,Proto-Indo-European | nan | Proto-Indo-European
692 | 1575 | 4500,3,*melh₂- | *melh₂- | *melh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2558 | 2751 | 2761,3,nan | nan | nan,nan | nan | nan
2526 | 5870 | 7043,3,*tu̯ek- | *tu̯ek- | tvacā,Proto-Indo-European | Proto-Indo-European | Marathi
613 | 771 | 5040,3,*du̯eh₂- | *du̯eh₂- | *du̯eh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
598 | 5236 | 5442,3,*k̑leu̯- | *k̑leu̯- | *k̑leu̯-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
689 | 2575 | 2576,3,nan | nan | nan,nan | nan | nan
537 | 1186 | 8396,3,*u̯ert- | *u̯ert- | *u̯ert-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2806 | 4837 | 7419,3,*těsnъ | *tiskati | *tiskati,Proto-Slavic | Proto-Slavic | Proto-Slavic
91 | 2831 | 2946,3,*Hoi̯- | nan | nan,Proto-Indo-European | nan | nan
2654 | 6646 | 7127,3,*(s)kerp- | *(s)kerp- | krapštýti,Proto-Indo-European | Proto-Indo-European | Lithuanian
2788 | 7026 | 9429,3,*(s)ken⁽g̑⁾- | *(s)ken⁽g̑⁾- | *(s)ken⁽g̑⁾-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1394 | 2895 | 8489,3,*brod- | *mreg̑ʰ- | *mreg̑ʰ-,Romance | Proto-Indo-European | Proto-Indo-European
2903 | 7234 | 8301,3,*luftu- | *luftu- | *luftu-,Proto-Germanic | Proto-Germanic | Proto-Germanic
1584 | 6066 | 6277,3,*sem- | *sem- | *sem-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1687 | 5394 | 7107,3,*u̯elh₂- | *u̯elh₂- | *u̯elh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1680 | 2959 | 8769,3,daṇḍá- | nan | daṇḍá-,Vedic | nan | Vedic
1623 | 3954 | 6868,3,jhāṭa- | jhāṭa- | ǰhalla-,Sanskrit | Sanskrit | Kalaṣa-alâ
1798 | 2001 | 3002,3,*u̯arká- | *u̯arká- | *u̯alká-,Proto-Indo-Iranic | Proto-Iranic | Proto-Indo-Iranian
1788 | 6440 | 7444,3,*g̑enh₁- | *g̑enh₁- | *g̑enh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1708 | 2443 | 5094,3,*ret- | *ret- | *ret-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1698 | 1707 | 6753,3,*kiu̯-o- | *kiu̯-o- | *kiu̯-o-,Proto-Celtic | Proto-Celtic | Proto-Celtic
1859 | 7126 | 9137,3,*g⁽ʷ⁾erdʰ- | *g⁽ʷ⁾erdʰ- | *g⁽ʷ⁾erdʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1814 | 3752 | 6611,3,*(s)re⁽g̑⁾- | *(s)re⁽g̑⁾- | *(s)re⁽g̑⁾-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1894 | 6265 | 8240,3,*kes- | *kes- | *kes-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
832 | 1797 | 4504,3,*ćau̯dʰ- | *ćau̯dʰ- | *ćau̯dʰ-,Proto-Indo-European | Proto-Indo-Iranic | Proto-Indo-Iranic
816 | 4142 | 6050,3,*dʰā́rā- | *dʰā́rā- | *dʰā́rā-,Proto-Indo-Iranic | Proto-Indo-Iranic | Proto-Indo-Iranic
831 | 6840 | 7785,3,*sterh₃- | *sterh₃- | *sterh₃-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
796 | 7069 | 9859,3,*h₃eh₁- | *h₃eh₁- | *h₃eh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
754 | 845 | 1643,3,*pakšá- | *pakšá- | *pakšá-,Proto-Indo-Iranic | Proto-Indo-Iranic | Proto-Indo-Iranic
649 | 1808 | 2245,3,"?*g̑ʰéi̯-om, *g̑ʰ(i)i̯-ém-, *g̑ʰi-m- | ?*g̑ʰéi̯-om, *g̑ʰ(i)i̯-ém-, *g̑ʰi-m- | ?*g̑ʰéi̯-om, *g̑ʰ(i)i̯-ém-, *g̑ʰi-m-",Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
305 | 2083 | 3074,3,*spti̯eu̯H- | nan | *spīwan-,Proto-Indo-European | nan | Proto-Germanic
559 | 2067 | 2625,3,nan | nan,nan | nan
2011 | 2771 | 5675,3,*j́rai̯- | *j́rai̯- | nan,Proto-Indo-Iranic | Proto-Indo-Iranic | nan
2032 | 4980 | 5203,3,*drep- | *drep- | *drep-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1957 | 3389 | 4864,3,*h₂eh₁- | *h₂eh₁- | *h₂eh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2515 | 5319 | 5872,3,*smer- | μύρον / mýron | *smer-,Proto-Indo-European | Greek: Ancient | Proto-Indo-European
2473 | 4015 | 6521,3,*pe⁽k̑⁾tu- | *pe⁽k̑⁾tu- | *pe⁽k̑⁾tu-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2267 | 2304 | 2707,3,?*slak- | ?*slak- | ?*slak-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2318 | 2325 | 2825,3,*g̑erh₂- | *pes- | *g̑erh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2370 | 6657 | 7319,3,*gʷem- | *gʷem- | *gʷem-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2377 | 7318 | 7567,3,*h₁ei̯- | *h₁ei̯- | *h₁ei̯-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
121 | 701 | 6963,3,*kemb- | *kemb- | *kemb-,Proto-Indo-European | nan | Proto-Indo-European
2196 | 4187 | 5290,3,*keh₂p- | *keh₂p- | *keh₂p-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2239 | 4919 | 6592,3,*(h₁)reu̯dʰ- | *(h₁)reu̯dʰ- | *(h₁)reu̯dʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1514 | 6541 | 6582,3,*ken- | *ken- | *ken-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1076 | 6729 | 6757,3,*kerH- | *kerH- | *kerH-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1089 | 6209 | 6297,3,*melit- | *melit- | *melit-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1111 | 5133 | 7789,3,*k⁽ʷ⁾ers- | *k⁽ʷ⁾ers- | *k⁽ʷ⁾ers-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1091 | 2338 | 9780,3,*(s)kend- | *(s)kend- | *(s)kend-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1308 | 1356 | 8433,3,ský | *skeui̯a | skjól,Old Norse | Proto-North-Germanic | Old Norse
953 | 2649 | 8071,3,*h₂ekʷ- | *h₂ekʷ- | *h₂ekʷ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
966 | 2158 | 2542,3,nan | nan | *ad,nan | nan | Proto-Indo-European
956 | 1265 | 6576,3,lārgus | lārgus | lārgus,Latin | Latin | Latin
1510 | 3304 | 4381,3,*steh₃- | *steh₃- | *steh₃-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1512 | 1534 | 2823,3,*k̑ent- | *k̑ent- | nan,Proto-Indo-European | Proto-Indo-European | nan
1498 | 5152 | 6526,3,*h₂eg̑- | *h₂eg̑- | *h₂eg̑- ,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1502 | 2482 | 8269,3,*s⁽k̑⁾eh₃- | *s⁽k̑⁾eh₃-  | *s⁽k̑⁾eh₃-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1326 | 1480 | 2939,3,*h₃lei̯g̑-,Proto-Indo-European
1477 | 1506 | 3023,3,*meh₂k̑- | *meh₂k̑- | *meh₂k̑-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1016 | 7989 | 8019,3,*kalona- | *kalona- | *kalona-,Proto-Celtic | Proto-Celtic | Proto-Celtic
982 | 2741 | 5391,3,*i̯eg̑- | *i̯eg̑- | *i̯eg̑-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
892 | 1259 | 8295,3,*colpus | *colpus | *colpus,Latin | Latin | Latin
865 | 1454 | 6682,3,*k̑eu̯H- | *k̑eu̯H- | *k̑u̯eh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
330 | 1167 | 1915,3,?*treh₁- | nan | trum̃pas,Proto-Indo-European | nan | Lithuanian
1173 | 1406 | 1721,3,*meh₁- | 1.*mei̯H- | *meh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
497 | 1065 | 2840,3,*skel- | nan,Proto-Indo-European | nan
1064 | 1792 | 1970,3,nan | *thukk- | tu,nan | Indic | Ossetic: Iron
1218 | 2211 | 3116,3,*bʰreu̯s- | *bʰreu̯s- | *bʰreu̯s-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1194 | 1860 | 1924,3,*medʰ- | *medʰ- | *medʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
68 | 154 | 8667,3,*kʰand- | nan | *kʰand-,Proto-Indo-Iranic | nan | Proto-Indo-Iranic
71 | 191 | 2984,3,*baina- | *baina- | *baina-,Proto-Germanic | Proto-Germanic | Proto-Germanic
1112 | 1508 | 5668,3,*kreu̯h₂- | *kreu̯h₂- | *kreu̯h₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
76 | 93 | 2726,3,*men- | *men- | nan,Proto-Indo-European | Proto-Indo-European | nan
1143 | 1737 | 2837,3,*tengʰ- | nan | *tengʰ-,Proto-Indo-European | nan | Proto-Indo-European
42 | 760 | 9517,3,*h₃mei̯gʰ- | *h₃mei̯gʰ- | *h₃mei̯gʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
27 | 3691 | 8948,3,*hu̯ar- | *hu̯ar- | *hu̯ar-,Proto-Iranic | Proto-Iranic | Proto-Iranic
14 | 1857 | 7235,3,*k̑elH- | *k̑elH- | *k̑elH-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2877 | 9633,2,*peu̯H- | *peu̯H-,Proto-Indo-European | Proto-Indo-European
25 | 3393,2,*gʰau̯š- | *gʰau̯š-,Proto-Indo-Iranic | Proto-Indo-Iranic
29 | 131,2,*h₂ster- | *h₂ster-,Proto-Indo-European | Proto-Indo-European
5343 | 6713,2,*per- | *per-,Proto-Indo-European | Proto-Indo-European
6707 | 7023,2,*leit- | *leit-,Proto-Germanic | Proto-Germanic
2677 | 6692,2,nan | nan,nan | nan
6690 | 6694,2,*mesg- | *mesg-,Proto-Indo-European | Proto-Indo-European
6639 | 8257,2,ὁράω / horáō | ὁράω / horáō,Greek: Ancient | Greek: Ancient
6578 | 6814,2,*tk̑ei̯- | *tk̑ei̯- ,Proto-Indo-European | Proto-Indo-European
266 | 6523,2,*negʷ- | *negʷ-,Proto-Indo-European | Proto-Indo-European
6462 | 6485,2,[دل / dil] | *dānu-,[Persian] | Proto-Iranic
1386 | 6459,2,*þwahan- | *þwahan-,Proto-Germanic | Proto-Germanic
6363 | 6461,2,*h₁legʰ- | *h₁legʰ-,Proto-Indo-European | Proto-Indo-European
6286 | 7794,2,*(s)teu̯p- | *(s)teu̯p-,Proto-Indo-European | Proto-Indo-European
2356 | 6253,2,ῥίς / rhís | σ̌ίνα / šína,Greek: Ancient | Greek: Tsakonian
6065 | 6247,2,γούλα / goúla | αναγουλίζουμαι / anagoulízoumai,Greek: Ancient | Greek: Cappadocian
1558 | 6245,2,στρέφω / stréphō | στρεβλός / streblós,Greek: Ancient | Greek: Ancient
6217 | 8405,2,*(s)lei̯- | *(s)lei̯-,Proto-Indo-European | Proto-Indo-European
1547 | 6177,2,εὐθύς / euthýs | εὐθύς / euthýs,Greek: Ancient | Greek: Ancient
1042 | 1403,2,buter | de bot,Old French | Old French
1296 | 7109,2,*ster(H)- | *ster(H)-,Proto-Indo-European | Proto-Indo-European
1271 | 2583,2,tālea | tālea,Latin | Latin
1267 | 3050,2,*tīrāre | *tīrāre,Latin | Latin
1262 | 5327,2,crassus | crassus,Latin | Latin
1247 | 6104,2,*teu̯(h₂)k- | *teu̯(h₂)k-,Proto-Indo-European | Proto-Indo-European
1212 | 1412,2,*bʰedʰh₂- | *bʰedʰh₂-,Proto-Indo-European | Proto-Indo-European
1209 | 2868,2,nan | nan,nan | nan
1202 | 5100,2,*u̯elk̑- | *u̯elk̑-,Proto-Indo-European | Proto-Indo-European
1190 | 5188,2,*bʰelH- | *bʰelH-,Proto-Indo-European | Proto-Indo-European
1183 | 5124,2,*deb- | *deb-,Proto-Balto-Slavic | Proto-Balto-Slavic
1169 | 1297,2,*rek- | *rek-,Proto-Indo-European | Proto-Indo-European
1142 | 7104,2,*golH-u̯eh₂- | *golH-u̯eh₂,Proto-Indo-European | Proto-Indo-European
1135 | 1152,2,*kork- | *kork-,Proto-Slavic | Proto-Slavic
1130 | 1147,2,*bʰei̯H- | *bʰei̯H-,Proto-Indo-European | Proto-Indo-European
1127 | 1941,2,*mag̑- | *mag̑-,Proto-Indo-European | Proto-Indo-European
1464 | 5151,2,*h₁er- | *h₁er-,Proto-Indo-European | Proto-Indo-European
1459 | 1523,2,κόκκαλος / kókkalos | κόκκος / kókkos,Greek: Ancient | Greek: Ancient
1448 | 7984,2,*steh₂⁽g̑⁾- | aestuarium,Proto-Indo-European | Latin
1409 | 8289,2,galbinus | [jalne],Latin | [Old French]
1363 | 1365,2,nan | *wība-,nan | Proto-Germanic
1359 | 6907,2,*tagla- | *tagla-,Proto-Germanic | Proto-Germanic
1331 | 1333,2,kasta | kasta,Old Norse | Old Norse
1329 | 2834,2,nan | *tau̯ro-,nan | Proto-Indo-European
1324 | 2890,2,nan | ?*hreiban-,nan | Proto-Germanic
1317 | 2773,2,*saiwi- | *saiwi-,Proto-Germanic | Proto-Germanic
1110 | 7760,2,*xap- | *xap-,Proto-Slavic | Proto-Slavic
1109 | 3292,2,*put- | *put-,Proto-Balto-Slavic | Proto-Balto-Slavic
1087 | 2366,2,*kai̯to- | *kai̯to-,Proto-Celtic | Proto-Celtic
1083 | 4079,2,nan | *u̯rako-,nan | Proto-Celtic
1069 | 7335,2,*su̯ei̯d- | *su̯ei̯d-,Proto-Indo-European | Proto-Indo-European
293 | 1046,2,*sengʷʰ- | nan,Proto-Indo-European | nan
1565 | 6169,2,ἄσπρος / áspros | ἄσπρος / áspros,Ancient Greek | Greek: Ancient
1539 | 2287,2,*k̑ei̯- | *k̑ei̯-,Proto-Indo-European | Proto-Indo-European
1515 | 8706,2,*meu̯k- | *meu̯k-,Proto-Indo-European | Proto-Indo-European
1484 | 2647,2,*sreu̯- | *sreu̯-,Proto-Indo-European | Proto-Indo-European
1479 | 5148,2,*bʰegʷ- | *bʰegʷ-,Proto-Indo-European | Proto-Indo-European
1474 | 6212,2,*g̑ʰeu̯- | *g̑ʰeu̯-,Proto-Indo-European | Proto-Indo-European
1040 | 4369,2,*rei̯⁽g̑⁾- | *rei̯⁽g̑⁾-,Proto-Indo-European | Proto-Indo-European
1025 | 3378,2,*dʰalh₁- | *dʰalh₁-,Proto-Indo-European | Proto-Indo-European
1023 | 2148,2,*sladi̯o- | *sladi̯o-,Proto-Celtic | Proto-Celtic
985 | 2171,2,*treu̯k- | *trukso-,Proto-Indo-European | Proto-Celtic
976 | 1079,2,*dʰeu̯b- | *dʰeu̯b-,Proto-Indo-European | Proto-Indo-European
964 | 5172,2,?*h₂em- | ?*h₂em-,Proto-Indo-European | Proto-Indo-European
960 | 1447,2,*ko(m)- | *kati,Proto-Indo-European | Proto-Indo-European
957 | 961,2,nan | mulier,nan | Latin
951 | 1274,2,nan | *k̑el-,nan | Proto-Indo-European
1471 | 7479,2,ξηρός / xērós | ξηρός / xērós,Greek: Ancient | Greek: Ancient
1658 | 2853,2,(برابر) | (برابر),(Persian) | (Persian)
1633 | 9514,2,kīṭá- | kīṭá-,Vedic | Vedic
1617 | 3359,2,*seh₁dʰ- | *seh₁dʰ-,Proto-Indo-European | Proto-Indo-European
1610 | 3966,2,pārśvá- | nan,Vedic | Proto-Indo-European
1585 | 4117,2,*bʰeng̑ʰ- | *bʰeng̑ʰ-,Proto-Indo-European | Proto-Indo-European
950 | 7639,2,*h₂elh₂- | *h₂elh₂-,Proto-Indo-European | Proto-Indo-European
944 | 8072,2,grossus | grossus,Latin | Latin
937 | 2639,2,nan | *peu̯⁽g̑⁾-,nan | Proto-Indo-European
927 | 4561,2,*dei̯k̑- | *dei̯k̑- ,Proto-Indo-European | Proto-Indo-European
925 | 2709,2,nan | *bʰerH-,nan | Proto-Indo-European
917 | 1399,2,*pelh₂- | *pelh₂-,Proto-Indo-European | Proto-Indo-European
910 | 1728,2,*men- | *men-,Proto-Indo-European | Proto-Indo-European
903 | 9168,2,*persneh₂- | خپه / khpa,Proto-Indo-European | Pashto
895 | 3170,2,glaciēs | glācies,Latin | Latin
883 | 9287,2,*du̯eno- | *du̯eno-,Proto-Italic | Proto-Italic
863 | 8381,2,*srei̯Hg̑- | *srei̯Hg̑-,Proto-Indo-European | Proto-Indo-European
782 | 946,2,?*(s)pend- | ?*(s)pend-,Proto-Indo-European | Proto-Indo-European
776 | 3115,2,day- | day-,Vedic | Vedic
750 | 7044,2,challī- | challī-,Sanskrit | Indic
1901 | 4843,2,*gʷerH- | *gʷerH-,Proto-Indo-European | Proto-Indo-European
1871 | 6789,2,?*ser- | ?*ser-,Proto-Indo-European | Proto-Indo-European
1863 | 2281,2,*gul- | *gul-,East Baltic | East Baltic
1856 | 1862,2,nan | nan,East Baltic | East Baltic
1851 | 9650,2,*gʷerh₃- | *gʷerh₃-,Proto-Indo-European | Proto-Indo-European
1809 | 7597,2,khúra- | khúra-,Sanskrit | Sanskrit
1726 | 6737,2,*koi̯lo- | *koi̯lo-,Proto-Celtic | Proto-Celtic
1686 | 1722,2,*meh₁- | nan,Proto-Indo-European | nan
1720 | 2256,2,fota | fota,Old Irish | Old Irish
1716 | 9537,2,*selg̑- | *selg̑- ,Proto-Indo-European | Proto-Indo-European
1694 | 1936,2,*leh₁t- | *leh₁t-,Proto-Indo-European | Proto-Indo-European
1688 | 7184,2,*konh₂m- | *konh₂m-,Proto-Indo-European | Proto-Indo-European
1667 | 4558,2,ṭaṅka- ~ ṭaṅga- | *ṭheṅga-,Sanskrit | Indic
1059 | 2147,2,*bekko- | nan,Proto-Celtic | nan
2144 | 8681,2,*gʷi̯eh₃- | *gʷi̯eh₃-,Proto-Indo-European | Proto-Indo-European
2108 | 4735,2,*su̯enh₂- | *su̯enh₂-,Proto-Indo-European | Proto-Indo-European
2046 | 2049,2,nan | nan,nan | nan
2040 | 2223,2,nan | *kelϸa-,nan | Proto-Germanic
2012 | 4654,2,*dʰei̯H- | *dʰei̯H-,Proto-Indo-European | Proto-Indo-European
1990 | 2013,2,*tau̯k- | *tau̯k-,Proto-Indo-Iranic | Proto-Indo-Iranic
1968 | 2851,2,*xai̯z- | (درست),Proto-Iranic | (Persian)
1820 | 1951,2,nan,nan
1880 | 1911,2,nan | nan,nan | Baltic
854 | 5530,2,?*(H)u̯ed- | *(H)u̯ed-,Proto-Indo-European | Proto-Indo-European
850 | 6166,2,*(s)ken(H)- | *(s)ken(H)-,Proto-Indo-European | Proto-Indo-European
836 | 2507,2,?*moṭṭa- | nan,Indic | nan
823 | 1676,2,*choṭṭa- | *choṭṭa-,Indic | Indic
808 | 6514,2,*nad- | [nadī-],Proto-Indo-Iranic | [Sanskrit]
793 | 2836,2,*lembH- | *lembH-,Proto-Indo-European | Proto-Indo-European
2301 | 8107,2,mattea | *mattea,Latin | Latin
2296 | 8096,2,tendere | tendere,Latin | Latin
2293 | 9963,2,*ml̥h₃dʰ- | *ml̥h₃dʰ-,Proto-Indo-European | Proto-Indo-European
316 | 2269,2,*swimman- | nan,Proto-Germanic | nan
1877 | 2264,2,nan | nan,Baltic | nan
2225 | 5281,2,*maitan- | *maitan-,Proto-Germanic | Proto-Germanic
1139 | 2201,2,*(s)ker- | *(s)ker-,Proto-Indo-European | Proto-Indo-European
368 | 2179,2,*dʰegʷʰ- | *dʰegʷʰ-,Proto-Indo-European | Proto-Indo-European
2169 | 7271,2,*sph₂en- | *sph₂en-,Proto-Indo-European | Proto-Indo-European
532 | 736,2,*lisius | nan,Latin | nan
720 | 6862,2,"*per-u̯n̥- | *pér-u̯r, *pér-u̯n̥-",Proto-Indo-European | Proto-Indo-European
704 | 7343,2,phulla- | phulla-,Sanskrit | Sanskrit
695 | 8431,2,*meld- | *meld-,Proto-Indo-European | Proto-Indo-European
686 | 6354,2,"*steh₂- | *pršthi-, *pršthá-",Proto-Indo-European | Proto-Indo-Iranic
678 | 2863,2,nan | nan,nan | nan
668 | 671,2,*gʷen- | *gʷen-,Proto-Indo-European | Proto-Indo-European
575 | 2610,2,nan,Slavic
565 | 6750,2,*⁽k̑⁾an- | *⁽k̑⁾an-,Proto-Indo-European | Proto-Indo-European
519 | 2791,2,*h₂ost- | *h₂ost-,Proto-Indo-European | Proto-Indo-European
515 | 913,2,*u̯et- | *u̯et-,Proto-Indo-European | Proto-Indo-European
698 | 2622,2,nan,nan
1460 | 2568,2,?*pneu̯- | *pneu̯-,Proto-Indo-European | Proto-Indo-European
1364 | 2545,2,*u̯í- | nan,Proto-Indo-European | nan
2538 | 2826,2,nan | *perh₂-,nan | Proto-Indo-European
2456 | 3058,2,*g̑enu- | *g̑enu-,Proto-Indo-European | Proto-Indo-European
2448 | 2982,2,*u̯elH- | *u̯elH-,Proto-Indo-European | Proto-Indo-European
2430 | 2431,2,*k̑ei̯-u̯o- | nan,Proto-Indo-European | nan
2419 | 5141,2,*dem- | *dem-,Proto-Indo-European | Proto-Indo-European
2405 | 4200,2,*kweϸan- | *kweϸan-,Proto-Germanic | Proto-Germanic
2373 | 5819,2,*antʰrōkʷo- | *antʰrōkʷo-,Proto-Greek | Proto-Greek
2368 | 4726,2,*u̯r̥ćšá- | *u̯r̥ćšá-,Proto-Indo-Iranic | Proto-Indo-Iranic
2360 | 3135,2,*u̯an- | *u̯an-,Proto-Indo-Iranic | Proto-Indo-Iranic
2842 | 2847,2,*(s)teu̯d-,Proto-Indo-European
2822 | 5022,2,*u̯ei̯k̑- | *u̯ei̯k̑-,Proto-Indo-European | Proto-Indo-European
2689 | 2820,2,*tó- | *tou(H),Proto-Indo-European | Proto-Balto-Slavic
2798 | 2799,2,nan | nan,nan | nan
161 | 2750,2,*kʷo- | nan,Proto-Indo-European | nan
403 | 2743,2,*merg̑⁽ʰ⁾- | *merg̑⁽ʰ⁾-,Proto-Indo-European | Proto-Indo-European
2324 | 2725,2,[puruṣa-] | nan,[Sanskrit] | nan
2724 | 3103,2,*poti- | nan,Proto-Indo-European | nan
2703 | 4555,2,*ṭakk- | nan,Indic | nan
2436 | 2694,2,*h₂eu̯-,Proto-Indo-European
2638 | 2710,2,battuere | battuere,Latin | Latin
640 | 3740,2,*k̑eh₃(i̯)- | *k̑eh₃(i̯)-,Proto-Indo-European | Proto-Indo-European
600 | 628,2,*per- | *per-,Proto-Indo-European | Proto-Indo-European
619 | 5163,2,?*u̯e-k⁽ʷ⁾sp-ero- | ?*u̯e-k⁽ʷ⁾sp-ero-,Proto-Indo-European | Proto-Indo-European
592 | 605,2,*k̑ers- | *k̑ers-,Proto-Indo-European | Proto-Indo-European
583 | 3344,2,pʿor | pʿor,Armenian: Classical | Armenian: Classical
464 | 5451,2,*(s)k̑eNs- | *(s)k̑eNs-,Proto-Indo-European | Proto-Indo-European
421 | 2000,2,nan | nan,nan | nan
411 | 7068,2,*g̑ʰes- | *g̑ʰes-,Proto-Indo-European | Proto-Indo-European
404 | 3855,2,pemë | pemë,Albanian: Gheg | Albanian
402 | 5617,2,këmbë | këmbë,Albanian | Albanian
3060 | 3824,2,*h₁ep- | *h₁ep-,Proto-Indo-European | Proto-Indo-European
3055 | 6353,2,*seh₂(i̯)- | ?*seh₂(i̯)-,Proto-Indo-European | Proto-Indo-European
3036 | 6841,2,*men- | *men-,Proto-Indo-European | Proto-Indo-European
2213 | 2998,2,*grǫd- | *gʰreu̯(m)bʰ-,Proto-Slavic | Proto-Indo-European
2996 | 5145,2,*pomp- | *pomp-,Proto-Balto-Slavic | Proto-Balto-Slavic
2967 | 3004,2,nan | ?*spei̯d-,nan | Proto-Indo-European
978 | 2918,2,*swisd- | nan,Proto-Celtic | nan
2910 | 8244,2,*sent- | *sent-,Proto-Indo-European | Proto-Indo-European
2905 | 8340,2,*h₃lei̯g̑- | *h₃lei̯g̑-,Proto-Indo-European | Proto-Indo-European
1068 | 2857,2,*efino- | nan,Proto-Celtic | nan
2852 | 6152,2,ὀρθός / orthós | ὀρθός / orthós,Greek: Ancient | Greek: Ancient
3313 | 3333,2,ḫaḫliu̯ant- | ḫaḫliu̯ant-,Hittite | Hittite
3247 | 3315,2,*(h₁)ner- | *(h₁)ner-,Proto-Indo-European | Proto-Indo-European
3217 | 3236,2,k'ax | k'aχ | k'ax | k'aχ,Ossetic | Ossetic
3153 | 4862,2,pilus | pilus,Latin | Latin
3141 | 8102,2,*u̯el- | *u̯el-,Proto-Indo-European | Proto-Indo-European
2493 | 3122,2,*seu̯k̑- | nan,Proto-Indo-European | nan
3111 | 6202,2,*h₂eu̯s- | *h₂eu̯s-,Proto-Indo-European | Proto-Indo-European
3090 | 5924,2,*h₁u̯erH- | *h₁u̯erH-,Proto-Indo-European | Proto-Indo-European
3082 | 7745,2,*per- | *per-,Proto-Indo-European | Proto-Indo-European
3080 | 4498,2,*nei̯gʷ- | *nei̯gʷ-,Proto-Indo-European | Proto-Indo-European
3067 | 9606,2,?*greng̑ʰ- | ?*greng̑ʰ-,Proto-Indo-European | Proto-Indo-European
510 | 513,2,*g̑erh₂- | *g̑erh₂-,Proto-Indo-European | Proto-Indo-European
490 | 2991,2,nan | nan,nan | nan
455 | 489,2,(vēritātem) | drejtë,(Albanian) | Albanian
388 | 480,2,*bʰerH- | *bʰerH-,Proto-Indo-European | Proto-Indo-European
471 | 485,2,rri | rri,Albanian | Albanian
