cognateset_ids,n_cognatesets,root_forms,root_languages
235 | 239 | 1384 | 2435 | 2441 | 2682 | 3008,7,nan | *k̑o- ~ *k̑i- | *(h₁)e-k̑e(i̯) | *k̑í- ~ *k̑ó- | nan | nan,nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan | nan
275 | 276 | 312 | 2294 | 7428 | 9662 | 9777,7,*h₃reg̑- | *h₃reg̑- | *h₃reg̑- | nan | *h₃reg̑- | *h₃reg̑- | *h₃reg̑-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
4148 | 4948 | 4981 | 6563 | 7585 | 8525,6,*peu(-t)- | *peu̯s- | *peu̯s- | *peu̯s- | *peu̯s- | *peu̯s-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
3547 | 4092 | 5227 | 7015 | 7186 | 9186,6,*gʰrebh₂- | *gʰrebh₂- | *gʰrebh₂- | *gʰrebh₂- | *gʰrebh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
294 | 1216 | 2486 | 2846 | 5137 | 5213,6,*sed- | *sed- | *sed- | *ṭheḍḍ- | *sed- | *sed-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Indic | Proto-Indo-European | Proto-Indo-European
225 | 1126 | 2783 | 6813 | 8225 | 9252,6,*ped- | *ped- | *ped- | *ped- | *ped- | *ped-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
444 | 1509 | 4903 | 5393 | 5410 | 8842,6,*h₃er- | *h₃er- | *h₃er- | *h₃er- | *h₃er- | *h₃er-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1461 | 2234 | 5455 | 6235 | 8281 | 8428,6,*k̑eh₂u̯- | *k̑eh₂u̯- | *k̑eh₂u̯- | *k̑eh₂u̯- | *k̑eh₂u̯- | *k̑eh₂u̯-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
625 | 849 | 860 | 1566 | 2045 | 6700,6,?*h₂enh₁- | *h₂enh₁- | *h₂enh₁- | *h₂enh₁- | anima | *h₂enh₁-,Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | Latin | Proto-Indo-European
535 | 1003 | 1005 | 3079 | 3084 | 7179,6,*(s)neh₂- | nan | *(s)neh₂- | *(s)neh₂- | nan | *(s)neh₂-,Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European
